scientificName,decimalLongitude,decimalLatitude
Chaetodon striatus,-70.8184661865,21.0228157043
Chaetodon striatus,-73,20
Chaetodon striatus,-82.0989303589,21.5154495239
Chaetodon striatus,-80.2127761841,23.1511116028
Chaetodon striatus,-87.4827805,19.8008327
Chaetodon striatus,-83.1945037842,21.6178836823
Chaetodon striatus,-79.948059082,9.3588886261
Chaetodon striatus,-83.2079162598,27.3017368317
Chaetodon striatus,-35.0821,-8.6992
Chaetodon striatus,-77.6317520142,18.4963665009
Chaetodon striatus,-80.1417832,25.3513
Chaetodon striatus,-71.5773773193,19.9184303284
Chaetodon striatus,-34.8437,-8.3447
Chaetodon striatus,-92.6140518188,29.0193500519
Chaetodon striatus,-67.1919,18.1893
Chaetodon striatus,-78.9031982422,9.54065036774
Chaetodon striatus,-85.66028,30.15861
Chaetodon striatus,-72.4833333,12.0666667
Chaetodon striatus,-73.032616,21.532898
Chaetodon striatus,-65.32772,18.30493
Chaetodon striatus,-77.5370330811,24.0979309082
Chaetodon striatus,-68.238565730377,10.8321660698766
Chaetodon striatus,-38.601389,-17.721389
Chaetodon striatus,-77.6989974976,24.4839992523
Chaetodon striatus,-63.0600013733,17.9956665039
Chaetodon striatus,-80.9594421387,23.2997226715
Chaetodon striatus,-76,33.8216667175
Chaetodon striatus,-44.506,-23.291
Chaetodon striatus,-80.4741668701,23.2102775574
Chaetodon striatus,-65,17
Chaetodon striatus,-85.8838889,16.4438889
Chaetodon striatus,-87.9800338745,16.52866745
Chaetodon striatus,-64.9491,32.2036
Chaetodon striatus,-77.5,17
Chaetodon striatus,-43.78333333,-1.533333333
Chaetodon striatus,-86.8166656,20.7666664
Chaetodon striatus,-80.1216,24.6541
Chaetodon striatus,-44.099,-23.164
Chaetodon striatus,-79.2076644897,20.9667491913
Chaetodon striatus,-59.5975,13.31944444
Chaetodon striatus,-65.19714,18.13869
Chaetodon striatus,-59.4744444444,13.1833333333
Chaetodon striatus,-78.0753479004,18.4590835571
Chaetodon striatus,-79.847596111,15.80754277
Chaetodon striatus,-77.228807,25.090841
Chaetodon striatus,-39.2000007629,-17.1000003815
Chaetodon striatus,-41.93333333,-22.8
Chaetodon striatus,-78.6973495483,9.51580047607
Chaetodon striatus,-65.53237,18.36003
Chaetodon striatus,-79.1449966431,22.6547222137
Chaetodon striatus,-83.9333333,17.4
Chaetodon striatus,-76.8740310669,18.3748664856
Chaetodon striatus,-78.3497238159,22.5402774811
Chaetodon striatus,-88.1833,17.4833
Chaetodon striatus,-80.159797668457,27.187400817871
Chaetodon striatus,-72.114444,19.728056
Chaetodon striatus,-60.2351118,10.6519071
Chaetodon striatus,-64.2386703491,18.5640163422
Chaetodon striatus,-76.45,18.1833
Chaetodon striatus,-78.983166,26.678721
