scientificName,decimalLongitude,decimalLatitude
Chaetodon striatus,-39.027778,-17.478333
Chaetodon striatus,-83.2079162598,27.3017368317
Chaetodon striatus,-35.0821,-8.6992
Chaetodon striatus,-77.6317520142,18.4963665009
Chaetodon striatus,-71.5773773193,19.9184303284
Chaetodon striatus,-92.6140518188,29.0193500519
Chaetodon striatus,-67.1919,18.1893
Chaetodon striatus,-78.9031982422,9.54065036774
Chaetodon striatus,-72.4833333,12.0666667
Chaetodon striatus,-73.032616,21.532898
Chaetodon striatus,-66.01738,18.44883
Chaetodon striatus,-62.9776649475,17.4616661072
Chaetodon striatus,-77.5370330811,24.0979309082
Chaetodon striatus,-79.1452789307,22.6533336639
Chaetodon striatus,-79.6458816528,21.4543170929
Chaetodon striatus,-81.2844314575,21.8535995483
Chaetodon striatus,-38.601389,-17.721389
Chaetodon striatus,-77.6989974976,24.4839992523
Chaetodon striatus,-63.0600013733,17.9956665039
Chaetodon striatus,-82.4,24.9766633
Chaetodon striatus,-87.5927200317,17.1718673706
Chaetodon striatus,-74.4063333,11.0345333
Chaetodon striatus,-76,33.8216667175
Chaetodon striatus,-80.4741668701,23.2102775574
Chaetodon striatus,-65,17
Chaetodon striatus,-82.702796936,21.4773330688
Chaetodon striatus,-85.8838889,16.4438889
Chaetodon striatus,-64.9491,32.2036
Chaetodon striatus,-77.5,17
Chaetodon striatus,-66.8952331543,11.7923336029
Chaetodon striatus,-38.918889,-17.745556
Chaetodon striatus,-65.19714,18.13869
Chaetodon striatus,-78.6576843262,20.6441669464
Chaetodon striatus,-59.4744444444,13.1833333333
Chaetodon striatus,-78.0753479004,18.4590835571
Chaetodon striatus,-68.2495070143952,10.8210062271318
Chaetodon striatus,-77.228807,25.090841
Chaetodon striatus,-39.2000007629,-17.1000003815
Chaetodon striatus,-81.8586056,12.1638861
Chaetodon striatus,-81.1053009033,19.2927494049
Chaetodon striatus,-83.9333333,17.4
Chaetodon striatus,-76.8740310669,18.3748664856
Chaetodon striatus,-78.3497238159,22.5402774811
Chaetodon striatus,-88.1833,17.4833
Chaetodon striatus,-66.75103,17.96703
Chaetodon striatus,-81.347865,13.35618
Chaetodon striatus,-80.159797668457,27.187400817871
Chaetodon striatus,-72.114444,19.728056
Chaetodon striatus,-60.2351118,10.6519071
Chaetodon striatus,-64.2386703491,18.5640163422
Chaetodon striatus,-67.94926,18.09474
Chaetodon striatus,-81.5146026611,22.0360507965
Chaetodon striatus,-87.9739303589,16.5263824463
Chaetodon striatus,-78.983166,26.678721
Chaetodon striatus,-72.348905,18.555116
Chaetodon striatus,-79.157395,25.238162
Chaetodon striatus,-77.3566666,8.6721666
Chaetodon striatus,-44.25,-0.866666674614
Chaetodon striatus,-69.8873,19.6332
