scientificName,decimalLongitude,decimalLatitude
Chaetodon striatus,-44.351628,-2.343124
Chaetodon striatus,-63.3670005798,17.309299469
Chaetodon striatus,-87.4152145386,18.4153499603
Chaetodon striatus,-81.8333333,12.8333333
Chaetodon striatus,-81.9248833,24.4454
Chaetodon striatus,-0.056664,5.556529
Chaetodon striatus,-93.0898971558,29.7485084534
Chaetodon striatus,-38.756389,-17.992778
Chaetodon striatus,-79.665106,9.598228
Chaetodon striatus,-63.6333333,15.7
Chaetodon striatus,-76.8333333,17.8833333
Chaetodon striatus,-34.7968,-7.3675
Chaetodon striatus,-81.2855834961,21.8479003906
Chaetodon striatus,-87.4375,19.8416671753
Chaetodon striatus,-73,20
Chaetodon striatus,-80.2127761841,23.1511116028
Chaetodon striatus,-83.2079162598,27.3017368317
Chaetodon striatus,-35.0821,-8.6992
Chaetodon striatus,-77.6317520142,18.4963665009
Chaetodon striatus,-29.334443,-20.488147
Chaetodon striatus,-71.5773773193,19.9184303284
Chaetodon striatus,-92.6140518188,29.0193500519
Chaetodon striatus,-80.0976667,25.6998833
Chaetodon striatus,-85.66028,30.15861
Chaetodon striatus,-72.4833333,12.0666667
Chaetodon striatus,-73.032616,21.532898
Chaetodon striatus,-65.32772,18.30493
Chaetodon striatus,-69.152,12.351
Chaetodon striatus,-77.5370330811,24.0979309082
Chaetodon striatus,-79.6458816528,21.4543170929
Chaetodon striatus,-82.30417,24.9777733
Chaetodon striatus,-80.9594421387,23.2997226715
Chaetodon striatus,-87.7440490723,17.59375
Chaetodon striatus,-76,33.8216667175
Chaetodon striatus,-65,17
Chaetodon striatus,-87.9800338745,16.52866745
Chaetodon striatus,-64.9491,32.2036
Chaetodon striatus,-77.5,17
Chaetodon striatus,-97.6327133179,22.3360748291
Chaetodon striatus,-86.8166656,20.7666664
Chaetodon striatus,-81.1357498169,19.3576660156
Chaetodon striatus,-65.19714,18.13869
Chaetodon striatus,-78.0753479004,18.4590835571
Chaetodon striatus,-77.228807,25.090841
Chaetodon striatus,-39.2000007629,-17.1000003815
Chaetodon striatus,-80.5886077881,23.2366657257
Chaetodon striatus,-79.1449966431,22.6547222137
Chaetodon striatus,-83.9333333,17.4
Chaetodon striatus,-76.8740310669,18.3748664856
Chaetodon striatus,-78.3497238159,22.5402774811
Chaetodon striatus,-88.1833,17.4833
Chaetodon striatus,-80.159797668457,27.187400817871
Chaetodon striatus,-72.114444,19.728056
Chaetodon striatus,-60.2351118,10.6519071
Chaetodon striatus,-80.14148,25.40296
Chaetodon striatus,-82.799133,24.7318
Chaetodon striatus,-64.2386703491,18.5640163422
Chaetodon striatus,-76.45,18.1833
Chaetodon striatus,-64.6922225952,18.2836093903
